検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,空調Ia基準値 [MJ/m2/年],空調Iｂ基準値 [MJ/m2/年],空調II基準値 [MJ/m2/年],空調III基準値 [MJ/m2/年],空調IVa基準値 [MJ/m2/年],空調IVb基準値 [MJ/m2/年],空調V基準値 [MJ/m2/年],空調VI基準値 [MJ/m2/年],給湯Ia基準値 [MJ/m2/年],給湯Iｂ基準値 [MJ/m2/年],給湯II基準値 [MJ/m2/年],給湯III基準値 [MJ/m2/年],給湯IVa基準値 [MJ/m2/年],給湯IVb基準値 [MJ/m2/年],給湯V基準値 [MJ/m2/年],給湯VI基準値 [MJ/m2/年],照明基準値 [MJ/m2/年],換気基準値 [MJ/m2/年]
R-10,6,10,飲食店等,事務室,100,100,100,100,100,100,100,100,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,755 ,0 
R-11,6,11,飲食店等,倉庫,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111 ,0 
R-12,6,12,飲食店等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,365 ,417 
R-13,6,13,飲食店等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,88 ,258 
R-14,6,14,飲食店等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,43 
R-15,6,15,飲食店等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,86 
R-16,6,16,飲食店等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,8 
R-17,6,17,飲食店等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,17 
R-18,6,18,飲食店等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,17 
R-19,6,19,飲食店等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,50 
M-1,7,1,集会所等,アスレチック,100,100,100,100,100,100,100,100,979 ,979 ,979 ,979 ,979 ,979 ,979 ,979 ,257 ,0 
M-2,7,2,集会所等,アスレチック（ロビー）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,171 ,0 
M-3,7,3,集会所等,アスレチック（トイレ）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191 ,20 
M-4,7,4,集会所等,アスレチック（喫煙室）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191 ,59 
M-5,7,5,集会所等,体育館（アイスホッケー公式）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,1780 ,0 
